label,taxonomy,locus,exon_count
WP_112064790.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_sp._10-6591_,Proteobacteria,NA,1
WP_006802813.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_winghamensis_,Proteobacteria,NA,1
WP_281650382.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_bilis_,Proteobacteria,NA,1
WP_066389260.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_himalayensis_,Proteobacteria,NA,1
WP_291031768.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_sp._,Proteobacteria,NA,1
WP_034325857.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_,Proteobacteria,NA,1
WP_034372893.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_sp._MIT_05-5293_,Proteobacteria,NA,1
WP_034363600.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_,Proteobacteria,NA,1
WP_104722670.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_mesocricetorum_,Proteobacteria,NA,1
WP_300599463.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_typhlonius_,Proteobacteria,NA,1
WP_266026653.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_sp._MIT_21-1697_,Proteobacteria,NA,1
WP_104718983.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_pullorum_,Proteobacteria,NA,1
WP_273175530.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_avium_,Proteobacteria,NA,1
WP_172232640.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_canadensis_,Proteobacteria,NA,1
WP_115578237.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_anseris_,Proteobacteria,NA,1
WP_111229041.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_valdiviensis_,Proteobacteria,NA,1
WP_121764627.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_burdigaliensis_,Proteobacteria,NA,1
WP_134237710.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__unclassified_Campylobacter_,Proteobacteria,NA,1
WP_306315614.1_cytolethal_distending_toxin_nuclease_subunit_Cc-CdtB__Campylobacter_coli_,Proteobacteria,NA,1
ENG9823380.1_hypothetical_protein__Campylobacter_coli_,Proteobacteria,NA,1
WP_416521180.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_jejuni_,Proteobacteria,NA,1
WP_263677321.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._FU_520_,Proteobacteria,NA,1
WP_263727164.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._IFREMER_LSEM_CL2101_,Proteobacteria,NA,1
WP_147555731.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_volucris_,Proteobacteria,NA,1
WP_195670995.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_volucris_,Proteobacteria,NA,1
WP_070316697.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_,Proteobacteria,NA,1
WP_044599293.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_peloridis_,Proteobacteria,NA,1
WP_139426093.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_armoricus_,Proteobacteria,NA,1
WP_039667495.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._RM16704_,Proteobacteria,NA,1
WP_120760071.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._P255_,Proteobacteria,NA,1
WP_257912846.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_lari_,Proteobacteria,NA,1
WP_421630581.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_jejuni_,Proteobacteria,NA,1
WP_039629011.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_,Proteobacteria,NA,1
WP_066008236.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_ornithocola_,Proteobacteria,NA,1
WP_337210646.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_molothri_,Proteobacteria,NA,1
WP_137623319.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_,Proteobacteria,NA,1
WP_147500765.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_insulaenigrae_,Proteobacteria,NA,1
WP_039664542.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_subantarcticus_,Proteobacteria,NA,1
WP_133374264.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_volucris_,Proteobacteria,NA,1
WP_257437577.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_upsaliensis_,Proteobacteria,NA,1
WP_411989924.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._VTCC_70190_,Proteobacteria,NA,1
WP_303206662.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._,Proteobacteria,NA,1
WP_126222191.1_cytolethal_distending_toxin_nuclease_subunit_Cj-CdtB__Campylobacter_jejuni_,Proteobacteria,NA,1
EEP0845887.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_jejuni_,Proteobacteria,NA,1
WP_100620894.1_cytolethal_distending_toxin_nuclease_subunit_Cj-CdtB__Campylobacter_jejuni_,Proteobacteria,NA,1
WP_096020162.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_lanienae_,Proteobacteria,NA,1
WP_284937290.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_gastrosuis_,Proteobacteria,NA,1
WP_086334140.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_vicugnae_,Proteobacteria,NA,1
MBR2148347.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._,Proteobacteria,NA,1
WP_147498043.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_hyointestinalis_,Proteobacteria,NA,1
WP_171994217.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_mucosalis_,Proteobacteria,NA,1
MGP1560991.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacteraceae_bacterium_,Proteobacteria,NA,1
MGP1485923.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._,Proteobacteria,NA,1
WP_430805917.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._9BO_,Proteobacteria,NA,1
WP_034969066.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_mucosalis_,Proteobacteria,NA,1
WP_142682102.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._MIT_99-7217_,Proteobacteria,NA,1
WP_065842700.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_fetus_,Proteobacteria,NA,1
WP_104699394.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_marmotae_,Proteobacteria,NA,1
WP_137632407.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_sp._MIT_12-5580_,Proteobacteria,NA,1
WP_066455293.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__unclassified_Helicobacter_,Proteobacteria,NA,1
WP_258864286.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__unclassified_Helicobacter_,Proteobacteria,NA,1
WP_181892083.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_cinaedi_,Proteobacteria,NA,1
UGA40875.1_cytolethal_distending_toxin_subunit_B_family_protein__Chromobacterium_haemolyticum_,Proteobacteria,NA,1
WP_462586092.1_cytolethal_distending_toxin_subunit_B_family_protein__Jejuibacter_calystegiae_,Proteobacteria,NA,1
WP_446188092.1_cytolethal_distending_toxin_subunit_B_family_protein__Enterobacter_cancerogenus_,Proteobacteria,NA,1
MBL8297620.1_cytolethal_distending_toxin_subunit_B_family_protein__Rhodanobacteraceae_bacterium_,Proteobacteria,NA,1
CAG9774113.1_unnamed_protein_product__Ceutorhynchus_assimilis_,Insect,NA,3
CAG9771698.1_unnamed_protein_product__Ceutorhynchus_assimilis_,Insect,NA,3
WP_127970329.1_cytolethal_distending_toxin_subunit_B_family_protein__Hahella_sp._KA22_,Proteobacteria,NA,1
WP_342936762.1_cytolethal_distending_toxin_subunit_B_family_protein__Paraburkholderia_diazotrophica_,Proteobacteria,NA,1
WP_245841174.1_cytolethal_distending_toxin_subunit_B_family_protein__Paraburkholderia_ribeironis_,Proteobacteria,NA,1
WP_342949929.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__Paraburkholderia_,Proteobacteria,NA,1
WP_081723669.1_cytolethal_distending_toxin_subunit_B_family_protein__Paraburkholderia_mimosarum_,Proteobacteria,NA,1
WP_179249227.1_cytolethal_distending_toxin_subunit_B_family_protein__Serratia_fonticola_,Proteobacteria,NA,1
WP_129961983.1_cytolethal_distending_toxin_subunit_B_family_protein__Paraburkholderia_sp._UYCP14C_,Proteobacteria,NA,1
WP_429113224.1_cytolethal_distending_toxin_subunit_B_family_protein__Aeromonas_veronii_,Proteobacteria,NA,1
WP_474456602.1_cytolethal_distending_toxin_subunit_B_family_protein__Chromobacterium_rhizoryzae_,Proteobacteria,NA,1
WP_170895428.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__unclassified_Vibrio_,Proteobacteria,NA,1
WP_168641699.1_cytolethal_distending_toxin_subunit_B_family_protein__Dickeya_sp._CFBP_2040_,Proteobacteria,NA,1
KMZ13472.1_Cytolethal_distending_toxin_subunit_B__Candidatus_Burkholderia_humilis_,Proteobacteria,NA,1
WP_129964322.1_cytolethal_distending_toxin_subunit_B_family_protein__Paraburkholderia_sp._UYCP14C_,Proteobacteria,NA,1
KNH08361.1_Cytolethal_distending_toxin_subunit_B__Candidatus_Burkholderia_brachyanthoides_,Proteobacteria,NA,1
WP_126589945.1_cytolethal_distending_toxin_subunit_B_family_protein__Pseudomonas_aeruginosa_,Proteobacteria,NA,1
WP_158229118.1_cytolethal_distending_toxin_subunit_B_family_protein__Collimonas_sp._PA-H2_,Proteobacteria,NA,1
WP_051229507.1_cytolethal_distending_toxin_subunit_B_family_protein__Paludibacterium_yongneupense_,Actinobacteria,NA,1
WP_028865209.1_cytolethal_distending_toxin_subunit_B_family_protein__Psychromonas_aquimarina_,Proteobacteria,NA,1
WP_038173027.1_cytolethal_distending_toxin_subunit_B_family_protein__Vibrio_pacinii_,Proteobacteria,NA,1
WP_391087942.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__unclassified_Vibrio_,Proteobacteria,NA,1
WP_073990310.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_ruckeri_,Proteobacteria,NA,1
WP_049600395.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_nurmii_,Proteobacteria,NA,1
WP_069009301.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_enterocolitica_,Proteobacteria,NA,1
WP_145521130.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_mollaretii_,Proteobacteria,NA,1
WP_145519486.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_bercovieri_,Proteobacteria,NA,1
WP_212586508.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_sp._Marseille-Q3913_,Proteobacteria,NA,1
WP_050139646.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_vastinensis_,Proteobacteria,NA,1
HHL2561977.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_enterocolitica_,Proteobacteria,NA,1
WP_050130953.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_,Proteobacteria,NA,1
HHL2501502.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_enterocolitica_,Proteobacteria,NA,1
HDL6963311.1_cytolethal_distending_toxin_subunit_B_family_protein__Yersinia_enterocolitica_,Proteobacteria,NA,1
TLY46939.1_MAG__hypothetical_protein_E6K54_07755__Gammaproteobacteria_bacterium_,Proteobacteria,NA,1
RDH39918.1_MAG__cytolethal_distending_toxin_subunit_B_family_protein__Candidatus_Aquirickettsiella_gammari_,Proteobacteria,NA,1
CAB4327915.1_Putative_cytolethal_distending_toxin_nuclease_subunit_CdtB__Bacteriophage_APSE-7_,Endosymbiont,NA,1
_LEUCOPHENGA_MACULATA.nanopore_contig_3768_1_-_putative_cdtb_translation,Drosophilidae,7,1
XP_031641203.1_uncharacterized_protein_LOC116352617__Contarinia_nasturtii_,Insect,NA,3
XP_037044795.1_cytolethal_distending_toxin_subunit_B-like__Bradysia_coprophila_,Insect,NA,2
_DROSOPHILA_SIMILIS_NODE_3665_length_8752_cov_6.105_extraction_-_cdtB_translation,Drosophilidae,4,3
_DROSOPHILA_INCOMPTA_NODE_5532_length_3572_cov_2.04_-_cdtB__translation,Drosophilidae,NA,3
_DROSOPHILA_SEPTENTRIOSALTANS_translation,Drosophilidae,NA,3
_DROSOPHILA_PARAPALLIDOSA_NODE_22_length_306821_cov_extraction_-_fusion_Cdtb_translation,Drosophilidae,2,5
_DROSOPHILA_PARAPALLIDOSA_NODE_22_length_306821_cov_extraction_-_cdtB_2_translation,Drosophilidae,2,3
_DROSOPHILA_PARAPALLIDOSA_NODE_22_length_306821_cov_extraction_-_cdtb1_translation,Drosophilidae,2,3
_DROSOPHILA_RECENS.nanopore_contig_2966_1_-_putative_cdtb2_translation,Drosophilidae,1,2
_DROSOPHILA_LACERTOSA.GCA_004143845_SCDZ01000318.1_-_CdtB2_translation,Drosophilidae,1,1
_DROSOPHILA_NIGROSPARSA_NODE_Assembly2_-_cdtb_translation,Drosophilidae,NA,1
EKK8347372.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_391915360.1_endonuclease/exonuclease/phosphatase_family_protein__Streptomyces_sp._NPDC001678_,Actinobacteria,NA,1
